FrameNo,FrustrationEvidence
0,0.14570593833923298
1,0.0286521315574646
2,0.042749285697937005
3,
4,
5,0.11860418319702101
6,-0.18409168720245403
7,0.08655089139938352
8,0.0120944380760193
9,-0.00221222639083862
10,-0.199626564979553
11,-0.22265911102294897
12,0.134288907051086
13,0.0795380473136902
14,0.15087592601776098
15,0.186004519462585
16,0.10862648487091099
17,0.0
18,0.0274261832237244
19,0.15415143966674802
20,0.10664284229278599
21,0.053954780101776116
22,0.17737728357315102
23,-0.17186975479126002
24,0.0118356347084045
25,0.156056761741638
26,0.23293209075927693
27,0.2494824528694151
28,0.132965743541718
29,0.16930752992629997
30,0.129925131797791
31,0.160675764083862
32,-0.11895161867141699
33,-0.05364102125167851
34,-0.308606028556824
35,-0.07179218530654909
36,0.11905831098556499
37,0.17816960811615004
38,-0.436583399772644
39,-0.17825734615325894
40,-0.393939852714539
41,-0.008379578590393068
42,0.0453256368637085
43,0.040151536464691204
44,0.0811324119567871
45,0.01838618516922
46,0.0571264028549194
47,0.036586582660675
48,-0.13960242271423298
49,-0.029923677444458004
50,0.05571717023849489
51,-0.156872153282166
52,0.021020293235778805
53,-0.4009780883789059
54,-0.260832667350769
55,-0.167517304420471
56,-0.15130525827407798
57,0.0348071455955505
58,0.07159066200256349
59,-0.03418564796447749
60,0.0606871247291565
61,-0.03439116477966309
62,-0.114236056804657
63,-0.06543445587158202
64,-0.18937659263610798
65,-0.16563832759857197
66,-0.054384291172027595
67,-0.012033462524414102
68,-0.238839507102966
69,-0.23217463493347207
70,0.0156158208847046
71,-0.06599700450897218
72,-0.0939534306526184
73,-0.011529028415679902
74,-0.312862753868103
75,-0.19921159744262695
76,-0.3170772790908812
77,-0.456161975860596
78,-0.0981565117835999
79,-0.163120031356812
80,-0.133599698543549
81,0.00017267465591430705
82,0.0244444012641907
83,0.09843045473098751
84,0.10274809598922699
85,-0.0671139359474182
86,-0.116850197315216
87,-0.021180152893066403
88,-0.8881716272410228
89,
90,
91,
92,-0.25493896007537803
93,-0.0972655415534973
94,-0.207436203956604
95,-0.2225341796875
96,-0.111098170280457
97,-0.19250035285949701
98,-0.280497670173645
99,-0.292782068252563
100,-0.27186310291290294
101,-0.2748935222625729
102,-0.198935866355896
103,-0.156771063804626
104,-0.225423216819763
105,-0.24586808681487998
106,-0.17690455913543698
107,0.0771095752716064
108,-0.34517824649810797
109,-0.26546406745910606
110,-0.220062375068665
111,-0.270689845085144
112,-0.300930500030518
113,-0.36575186252594
114,-0.211028575897217
115,-0.14521265029907202
116,-0.238072037696838
117,-0.10657513141632101
118,-0.229524374008179
119,-0.21448481082916296
120,-0.253216147422791
121,-0.24377715587616
122,-0.352801203727722
123,-0.00186127424240112
124,-0.3218111991882321
125,-0.5640512704849241
126,-0.36611950397491505
127,-0.387018084526062
128,-0.44062018394470204
129,-0.459437370300293
130,-0.273591041564941
131,-0.33383214473724393
132,-0.284206867218018
133,-0.18452513217926023
134,-0.6086981296539309
135,
136,
