FrameNo,FrustrationEvidence
0,-1.575572550296781
1,-1.5200760960578898
2,-2.0318959355354305
3,
4,
5,
6,-1.66631013154984
7,-1.3394721150398303
8,-1.37662535905838
9,-1.2792491316795298
10,-1.29493290185928
11,-1.0771344304084798
12,-1.05030542612076
13,-0.9375579953193662
14,-1.1486063599586498
15,-1.2605261206626899
16,-1.20485752820969
17,-1.16817277669907
18,-1.0852622389793398
19,-0.8441036343574523
20,-0.488037407398224
21,-0.423483788967133
22,-0.25166857242584195
23,-0.18105572462081893
24,-0.277089834213257
25,-0.28841245174408
26,-0.159133017063141
27,-0.3636415600776672
28,-0.129710674285889
29,-0.292809545993805
30,-0.26158583164215093
31,0.011382341384887699
32,-0.222648739814758
33,0.257154911756516
34,0.165604025125504
35,-0.03129398822784419
36,-0.08847326040267942
37,-0.00276327133178711
38,-0.0197795629501343
39,0.12425506114959697
40,0.11453968286514302
41,0.0369747877120972
42,0.0236209034919739
43,0.17636549472808796
44,0.0932663083076477
45,0.08331966400146482
46,0.08905184268951419
47,0.18575206398963898
48,0.0837913155555725
49,0.19057133793830897
50,0.17274963855743403
51,0.125097632408142
52,0.223528504371643
53,0.15325552225112898
54,0.023183345794677703
55,0.24004641175270108
56,0.0732090473175049
57,0.012798368930816702
58,0.143125116825104
59,0.32123631238937395
60,0.200898081064224
61,0.23757761716842696
62,0.12791854143142697
63,0.0900667905807495
64,0.0351859927177429
65,0.148566693067551
66,0.08065974712371829
67,0.135880708694458
68,0.174821078777313
69,0.08894526958465578
70,0.177784770727158
71,0.18177363276481606
72,0.0545337200164795
73,0.134389519691467
74,0.0778857469558716
75,0.0
76,0.0379220843315125
77,-0.07727444171905519
78,0.021436989307403596
79,0.0676175355911255
80,0.0170908570289612
81,-0.013101816177368202
82,-0.219610452651978
83,-0.131452322006226
84,-0.218392550945282
85,-0.2099302411079411
86,-0.09542983770370482
87,-0.113002181053162
88,-0.13661488800337818
89,-0.36117202043533303
90,-0.3349873423576361
91,-0.31442558765411405
92,-0.33328384160995495
93,-0.299636006355286
94,-0.260339260101318
95,-0.43401271104812617
96,-0.39732128381729115
97,-0.2675105929374689
98,-0.25711953639984103
99,-0.21673280000686604
100,-0.2881047129631042
101,-0.305671870708466
102,
103,-0.32921302318573
104,-0.3773385882377622
105,-0.354863703250885
106,-0.42659968137741094
107,-0.290601909160614
108,-0.3740612864494321
109,-0.341029405593872
110,-0.24334084987640392
111,-0.406550943851471
112,-0.318671703338623
113,-0.431953728199005
114,-0.524713933467865
115,-0.38816016912460305
116,-0.354659616947174
117,-0.26501733064651495
118,-0.142618119716644
119,-0.20532953739166301
120,-0.49140697717666615
121,-0.33061426877975497
122,-0.303252100944519
123,-0.29395312070846596
124,-0.32628905773162814
125,-0.3583999276161188
126,-0.2929643392562869
127,-0.3811078667640689
128,-0.37735015153884893
129,-0.3778437972068788
130,-0.2891128659248351
131,-0.3655099272727969
132,-0.3210123181343079
133,-0.38144856691360485
134,-0.32222753763198914
135,-0.3458437323570251
136,-0.4023188948631289
137,-0.37670046091079706
138,-0.127983093261719
139,-0.36637371778488226
140,-0.31954967975616483
141,-0.254489958286285
142,-0.34735339879989613
143,-0.3943137526512149
144,-0.3561387658119201
145,-0.39689868688583396
146,-0.5150062441825869
147,-0.4063554406166079
148,-0.429925262928009
149,-0.4703839421272279
150,-0.4620726704597471
151,-0.412376344203949
152,-0.26914346218109103
153,-0.29580676555633517
154,-0.39832335710525507
155,-0.3317667245864869
156,-0.343621015548706
